2MASS,logL,Umag,Bmag,Vmag,Imag,U-B,B-V,Classification,UV
05254484-6904488,5.02,15.903,15.164,13.516,99.999,0.739,1.648,0,4
05262739-6910559,5.112,16.733,15.474,13.626,99.999,1.259,1.848,0,4
05272673-6900018,4.815,16.323,14.964,13.136,99.999,1.359,1.828,0,0
05335217-6911135,5.083,17.58,16.214,13.807,9.425,1.366,2.407,0,4
05020953-7025017,4.91,16.563,15.164,13.316,10.493,1.399,1.848,0,4
05055950-7048112,4.9,16.763,15.314,13.486,8.92,1.449,1.828,0,4
05283155-6905310,4.968,16.883,15.304,13.286,99.999,1.579,2.018,0,0
05410689-6917147,5.109,17.093,15.414,13.356,10.637,1.679,2.058,0,4
05310343-6905400,4.86,16.303,14.624,12.766,99.999,1.679,1.858,0,4
05342142-6922002,4.746,16.263,14.544,12.776,11.034,1.719,1.768,0,4
05044174-7042371,5.021,16.963,15.224,13.336,10.07,1.739,1.888,0,4
05303557-6712043,4.741,16.683,14.924,13.116,99.999,1.759,1.808,0,4
05055895-7029140,4.874,16.823,15.064,13.166,99.999,1.759,1.898,0,0
05423534-6908485,5.16,16.433,14.634,12.616,99.999,1.799,2.018,0,4
05430203-6905497,4.896,16.903,15.064,13.096,99.999,1.839,1.968,0,4
05035969-6938144,5.04,17.123,15.284,13.216,99.999,1.839,2.068,0,4
05055667-7035238,5.005,16.592,14.744,12.816,10.445,1.848,1.928,0,4
05405532-6923252,5.149,17.013,15.154,12.956,10.48,1.859,2.198,0,4
05280597-6907133,4.915,17.599,15.739,14.115,99.999,1.86,1.624,0,4
05175743-6808412,4.849,16.679,14.778,12.8,10.814,1.901,1.978,0,0
05290348-6906461,5.052,17.762,15.844,13.762,99.999,1.918,2.082,0,4
05271030-6916175,4.785,17.033,15.094,13.216,11.056,1.939,1.878,0,4
05283034-6900444,4.834,17.024,14.934,13.036,99.999,2.09,1.898,0,0
05420071-6911369,4.727,17.677,15.579,13.674,9.421,2.098,1.905,0,4
05310928-6725549,5.175,16.923,14.824,12.866,99.999,2.099,1.958,0,4
05282886-6807078,5.254,16.633,14.504,12.356,99.999,2.129,2.148,0,4
05415009-6921155,4.869,17.043,14.874,12.906,10.944,2.169,1.968,0,4
05304144-6915337,5.193,17.444,15.212,13.567,99.999,2.232,1.645,0,4
05423856-6909514,4.728,17.733,15.354,13.356,99.999,2.379,1.998,0,4
05272805-6900360,4.941,16.771,14.364,12.706,99.999,2.407,1.658,0,4
05352452-6904034,4.97,18.577,15.951,14.165,99.999,2.626,1.786,0,4
05271422-6911107,4.952,17.622,14.83,13.692,99.999,2.792,1.138,0,0
05333934-6910526,4.614,17.036,16.035,14.054,99.999,1.001,1.981,0,4
05400761-6920049,4.898,16.803,15.794,13.886,11.066,1.009,1.908,0,4
05310463-6900000,4.6,16.093,15.084,13.346,99.999,1.009,1.738,0,4
04494968-6955336,4.666,16.323,15.284,13.596,11.257,1.039,1.688,0,4
04572801-6830460,4.248,16.823,15.708,13.988,12.05,1.115,1.72,0,3
05040897-6850213,4.288,16.997,15.853,14.186,12.469,1.144,1.667,0,4
05311843-6909282,4.784,16.096,14.949,13.545,99.999,1.147,1.404,0,4
05363113-6950075,4.545,17.329,16.17,14.256,12.063,1.159,1.914,0,4
05074127-6755438,4.598,16.917,15.731,13.559,11.492,1.186,2.172,0,4
05360792-6912330,4.67,16.748,15.552,13.627,9.956,1.196,1.925,0,0
05254378-6628450,4.414,16.775,15.563,13.926,99.999,1.212,1.637,0,0
05311544-6903588,4.935,16.343,15.124,13.316,9.84,1.219,1.808,0,4
04550559-6935248,4.355,16.677,15.455,13.762,12.125,1.222,1.693,0,2
05301284-6656013,4.854,15.967,14.729,12.786,99.999,1.238,1.943,0,4
05052587-6819572,4.178,17.063,15.813,14.083,12.563,1.25,1.73,0,4
05265063-6626350,4.561,16.467,15.164,13.376,99.999,1.303,1.788,0,4
05274538-6624307,4.607,16.718,15.4,13.427,99.999,1.318,1.973,0,0
04592530-6744128,4.344,17.449,16.114,14.169,99.999,1.335,1.945,0,4
04565399-6933402,4.38,16.757,15.403,13.509,99.999,1.354,1.894,0,2
05315335-6640432,5.19,16.128,14.754,12.37,8.847,1.374,2.384,0,4
