2MASS,logL,Umag,Bmag,Vmag,Imag,U-B,B-V,UV
05333266-6656402,4.553,99.999,18.119,13.152,9.772,-18.119,4.967,4
05392025-6802404,4.054,16.285,20.253,14.259,12.78,-3.968,5.994,4
04523501-6833515,3.752,14.602,18.45,14.877,13.485,-3.848,3.573,3
05214954-6937071,3.65,15.458,19.261,15.087,13.816,-3.803,4.174,4
05323576-7126498,4.422,15.643,19.113,13.523,11.844,-3.47,5.59,4
04560187-6919282,3.983,16.84,19.892,14.386,12.943,-3.052,5.506,4
05264287-6644008,3.665,16.455,19.316,14.917,13.689,-2.861,4.399,4
04593827-6757121,4.238,16.45,19.258,14.007,12.486,-2.808,5.251,4
04463273-6914135,3.804,17.744,20.272,14.822,13.418,-2.528,5.45,4
04432437-6807476,3.612,17.212,19.51,15.335,13.91,-2.298,4.175,4
05410965-6732232,4.093,12.279,14.502,13.273,11.242,-2.223,1.229,1
04564377-7004467,3.592,17.582,19.781,15.052,13.89,-2.199,4.729,4
05285070-6924244,3.613,17.005,19.189,14.822,99.999,-2.184,4.367,4
04595204-6829228,3.571,17.613,19.651,15.191,13.818,-2.038,4.46,4
04565912-7015073,3.632,17.388,19.426,14.911,13.753,-2.038,4.515,4
05254148-6607556,4.075,16.161,18.177,14.157,99.999,-2.016,4.02,4
05041427-6626040,4.476,12.318,14.219,11.846,10.86,-1.901,2.373,1
05312586-6946374,4.26,17.808,19.425,14.098,99.999,-1.617,5.327,4
04525647-6920342,4.419,17.21,18.594,13.581,99.999,-1.384,5.013,0
05380665-6917296,5.103,17.196,18.414,13.797,11.137,-1.218,4.617,4
04553485-6926556,5.406,10.743,11.764,11.416,11.754,-1.021,0.348,1
04570904-6757417,3.69,17.004,17.91,15.155,13.746,-0.906,2.755,4
04452648-6838499,3.704,14.606,15.496,14.634,13.414,-0.89,0.862,4
04520168-6810156,3.752,17.577,18.402,15.595,13.577,-0.825,2.807,4
04540574-6905282,4.712,12.723,13.544,12.856,99.999,-0.821,0.688,1
05264474-6906065,4.871,10.963,11.754,11.596,11.458,-0.791,0.158,0
05361061-6854401,5.024,11.683,12.474,12.076,99.999,-0.791,0.398,2
05372320-6919280,4.936,12.013,12.754,12.256,10.617,-0.741,0.498,2
04514420-7009357,3.929,14.255,14.969,14.286,13.046,-0.714,0.683,1
05072992-6959521,3.946,14.119,14.816,14.02,12.893,-0.697,0.796,1
05310119-6910592,4.903,12.563,13.254,12.566,10.454,-0.691,0.688,2
05533442-7002090,3.613,17.981,18.66,15.133,13.798,-0.679,3.527,4
05201939-6935290,5.025,19.134,19.777,17.973,12.694,-0.643,1.804,4
05281422-6954387,3.717,14.137,14.77,14.112,13.021,-0.633,0.658,4
05325676-6737250,3.979,14.347,14.963,14.329,12.783,-0.616,0.634,1
05261140-7016576,3.723,14.733,15.337,14.64,13.639,-0.604,0.697,2
04480007-6849112,4.3,14.49,15.05,13.945,99.999,-0.56,1.105,2
05402637-6928366,3.579,14.52,15.077,14.754,13.841,-0.557,0.323,2
04444215-6924427,3.73,15.514,16.056,14.917,13.597,-0.542,1.139,2
05350103-7009342,3.821,14.25,14.792,14.29,13.303,-0.542,0.502,1
05303703-6654472,4.668,14.446,14.958,13.146,99.999,-0.512,1.812,2
05380730-6916248,4.962,13.723,14.214,13.376,11.279,-0.491,0.838,3
05341458-6902422,4.588,13.103,13.594,13.036,99.999,-0.491,0.558,2
05364090-6807220,3.964,14.993,15.482,14.291,12.868,-0.489,1.191,2
05135429-6931465,5,11.429,11.881,12.041,10.429,-0.452,-0.16,0
05321865-6731459,4.824,13.043,13.494,12.696,99.999,-0.451,0.798,1
05321796-6915037,4.644,12.563,13.014,12.586,10.991,-0.451,0.428,1
04503417-6849526,3.592,15.871,16.287,15.285,13.921,-0.416,1.002,3
04553282-7117138,4.018,14.504,14.915,14.311,12.872,-0.411,0.604,1
05194967-6930040,4.603,11.433,11.834,11.706,99.999,-0.401,0.128,4
05355029-6937080,5.01,14.406,14.802,13.418,99.999,-0.396,1.384,1
04530486-6736260,3.902,14.39,14.773,14.103,12.94,-0.383,0.67,1
04595611-6822540,3.801,15.9,16.273,14.837,13.214,-0.373,1.436,2
05302604-7015067,3.766,17.572,17.921,16.32,14.021,-0.349,1.601,4
05264696-6746256,3.743,14.865,15.208,14.477,13.364,-0.343,0.731,2
05165062-6920297,3.544,15.611,15.942,15.247,13.744,-0.331,0.695,0
04532033-7016420,3.625,15.268,15.582,14.838,13.747,-0.314,0.744,4
05161167-6844537,3.94,15.242,15.535,14.388,13.067,-0.293,1.147,0
04541113-6900281,4.206,14.318,14.604,13.633,12.363,-0.286,0.971,2
05330760-6648056,4.781,15.264,15.543,12.808,99.999,-0.279,2.735,3
05293927-7120052,4.184,14.604,14.875,13.896,12.367,-0.271,0.979,1
05101934-7114215,3.648,15.494,15.763,14.848,13.703,-0.269,0.915,2
05203340-6938127,3.894,14.92,15.185,14.171,12.75,-0.265,1.014,0
05110427-6709454,3.652,15.398,15.66,14.825,13.572,-0.262,0.835,2
04552924-6802201,3.747,15.539,15.778,14.764,13.483,-0.239,1.014,2
05020407-7117230,3.759,15.375,15.611,14.715,13.415,-0.236,0.896,2
05201196-6721527,3.714,15.511,15.739,14.733,13.427,-0.228,1.006,2
04570021-6815123,4.101,15.535,15.762,14.24,12.456,-0.227,1.522,0
05205823-6734284,3.821,15.176,15.396,14.458,13.235,-0.22,0.938,2
05380935-6818556,4.02,14.82,15.039,14.172,12.771,-0.219,0.867,2
04540723-6702452,3.945,15.145,15.355,14.394,12.951,-0.21,0.961,2
04455518-6915438,3.763,15.638,15.843,14.889,13.456,-0.205,0.954,3
05082469-6957139,3.705,15.554,15.75,14.698,13.303,-0.196,1.052,3
04565305-7012154,4.018,14.877,15.072,14.152,12.853,-0.195,0.92,4
05404986-6922455,4.983,14.471,14.664,13.39,99.999,-0.193,1.274,1
04565500-6933119,4.441,13.593,13.764,13.106,99.999,-0.171,0.658,1
04455844-6903157,3.76,15.366,15.534,14.575,13.265,-0.168,0.959,0
04561080-7050353,4.08,15.3,15.455,14.333,12.752,-0.155,1.122,4
04493431-6905493,3.848,13.433,13.584,13.266,12.528,-0.151,0.318,2
05280728-6631339,3.868,15.009,15.154,14.322,13.225,-0.145,0.832,3
05302702-6708591,4.034,15.206,15.347,14.136,12.024,-0.141,1.211,0
04453915-6908007,3.874,15.735,15.87,14.744,13.23,-0.135,1.126,3
05175543-6928544,4.426,14.815,14.948,13.99,11.808,-0.133,0.958,0
05341542-6730324,4.263,14.894,15.027,13.902,10.845,-0.133,1.125,2
05131442-6857576,3.803,15.532,15.657,14.528,13.186,-0.125,1.129,4
04582004-6658449,3.889,15.965,16.084,14.588,13.033,-0.119,1.496,3
04415174-6950151,3.901,15.477,15.585,14.604,13.156,-0.108,0.981,0
05310046-6717010,4.304,14.825,14.915,13.759,10.877,-0.09,1.156,2
05345621-6821243,3.896,14.3,14.378,13.669,12.785,-0.078,0.709,3
05041926-6559204,4.081,15.322,15.398,14.186,13.039,-0.076,1.212,3
05224515-6752143,4.142,15.251,15.326,14.126,12.541,-0.075,1.2,2
05350171-6654284,5.073,14.578,14.648,12.703,99.999,-0.07,1.945,4
05230588-6711394,4.542,14.455,14.524,13.135,99.999,-0.069,1.389,1
05265899-6635019,3.768,15.596,15.664,14.635,13.41,-0.068,1.029,4
05492869-6839591,3.856,15.751,15.805,14.942,13.235,-0.054,0.863,3
05271981-6632475,3.925,15.623,15.643,14.556,13.111,-0.02,1.087,0
05231778-6657073,4.974,16.442,16.449,13.955,14.121,-0.007,2.494,0
05074141-6909049,3.644,16.065,16.06,15.063,13.996,0.005,0.997,4
05070608-6743464,4.187,15.113,15.102,13.845,12.389,0.011,1.257,2
04522388-6821544,3.927,15.437,15.426,14.408,13.009,0.011,1.018,2
05430591-6802111,3.604,15.97,15.959,14.983,13.812,0.011,0.976,3
05011859-6616521,4.132,15.173,15.161,13.944,11.835,0.012,1.217,2
05293747-6950505,3.709,16.095,16.072,14.867,13.606,0.023,1.205,4
04542275-7048207,4.375,15.64,15.614,14.184,12.102,0.026,1.43,4
05394230-6945280,3.69,16.508,16.476,15.343,13.683,0.032,1.133,4
05304842-6716458,4.715,14.203,14.154,13.076,99.999,0.049,1.078,2
05060970-6833115,3.824,16.448,16.398,15.057,13.418,0.05,1.341,0
05432629-6926070,4.151,15.423,15.369,14.121,12.546,0.054,1.248,3
04562703-6924033,4.59,14.254,14.199,12.065,11.165,0.055,2.134,1
04552808-6812591,3.735,16.147,16.091,14.885,13.406,0.056,1.206,3
05295304-6908581,4.053,15.491,15.429,14.176,11.838,0.062,1.253,0
05362683-6659203,3.835,15.228,15.166,13.969,13.036,0.062,1.197,4
04572327-6808165,4.035,15.706,15.639,14.334,12.812,0.067,1.305,1
05320446-6958406,3.613,16.107,16.029,15.075,13.83,0.078,0.954,0
05101644-7114455,3.793,15.809,15.725,14.635,13.366,0.084,1.09,2
05314970-6659493,4.816,14.895,14.81,12.485,9.148,0.085,2.325,1
05050620-6638554,3.71,15.88,15.791,14.688,13.476,0.089,1.103,3
05302572-6656203,4.215,15.317,15.213,14,11.068,0.104,1.213,3
05060067-6916283,3.757,16.23,16.122,14.823,13.447,0.108,1.299,4
05022788-6917327,3.641,15.87,15.761,14.659,13.582,0.109,1.102,3
05330440-7048301,4.689,14.787,14.672,13.081,11.158,0.115,1.591,2
05192424-6925459,4.36,15.079,14.962,13.734,12.199,0.117,1.228,0
05430250-6826113,4.304,15.358,15.239,13.797,12.189,0.119,1.442,2
05114434-6851040,3.639,16.213,16.081,14.846,13.76,0.132,1.235,0
05305213-6925425,4.619,14.733,14.594,13.706,11.794,0.139,0.888,4
05405944-6623003,3.813,19.88,19.735,15.974,14.533,0.145,3.761,4
05014167-6728280,3.872,15.972,15.826,14.582,13.125,0.146,1.244,3
05313254-6721454,4.045,15.597,15.447,14.233,12.553,0.15,1.214,3
05221993-6755418,3.561,16.495,16.344,15.345,13.95,0.151,0.999,1
05203471-6730421,4.464,15.128,14.976,13.513,11.724,0.152,1.463,2
05122760-6849375,3.979,16.052,15.897,14.493,12.906,0.155,1.404,0
04571232-6830470,3.985,15.904,15.746,14.482,12.865,0.158,1.264,3
05354489-6632364,3.837,15.864,15.703,16.447,99.999,0.161,-0.744,2
04472577-6843565,3.87,14.509,14.346,13.875,12.982,0.163,0.471,3
04494690-6920452,3.819,16.533,16.369,15.121,13.465,0.164,1.248,3
05334546-6629037,4.282,15.167,15.002,13.724,99.999,0.165,1.278,2
05175134-6918154,4.137,15.731,15.564,14.199,99.999,0.167,1.365,0
05101161-6751101,3.875,15.006,14.832,13.962,12.818,0.174,0.87,4
05000632-6819049,4,15.675,15.495,14.271,12.712,0.18,1.224,1
04543655-6956380,4.059,15.985,15.796,14.421,12.766,0.189,1.375,3
05384115-6758067,3.623,16.339,16.15,14.977,13.806,0.189,1.173,3
04502800-7001061,3.927,16.069,15.875,14.628,13.07,0.194,1.247,3
05200512-6718131,3.756,16.284,16.09,14.841,13.411,0.194,1.249,3
05415466-6854449,4.465,15.208,15.009,13.856,99.999,0.199,1.153,2
05374106-7138553,4.388,15.072,14.872,13.6,99.999,0.2,1.272,1
05472133-6909100,4.16,14.532,14.33,13.675,12.49,0.202,0.655,2
05080043-6858006,3.647,16.49,16.279,15.063,13.854,0.211,1.216,4
05174420-6928370,4.03,15.834,15.622,15.285,12.666,0.212,0.337,0
05271535-6933424,4.108,15.161,14.943,13.838,12.644,0.218,1.105,4
05275015-6826587,4.156,15.55,15.328,14.03,12.489,0.222,1.298,3
04552579-6938378,4.741,14.923,14.694,13.276,11.318,0.229,1.418,4
05190326-6939552,5.31,13.443,13.214,11.756,99.999,0.229,1.458,0
05260108-6616191,5.088,14.444,14.198,12.706,99.999,0.246,1.492,1
05271018-6804201,3.594,16.589,16.338,15.156,13.783,0.251,1.182,3
05132774-6840396,4.148,15.545,15.292,14.072,12.574,0.253,1.22,0
05301088-6655119,4.707,14.473,14.22,12.993,99.999,0.253,1.227,2
05193884-6718156,3.809,16.148,15.893,14.562,13.187,0.255,1.331,3
04551683-6812019,3.801,15.369,15.113,14.097,12.781,0.256,1.016,4
05202337-6758065,3.762,16.497,16.236,14.843,13.428,0.261,1.393,3
05243933-6740032,4.046,15.936,15.672,14.327,12.311,0.264,1.345,3
05021945-6705235,4.012,15.816,15.552,14.137,12.697,0.264,1.415,3
05265487-6708346,3.894,15.916,15.651,14.4,12.554,0.265,1.251,4
05303345-6717151,5.016,14.003,13.734,12.436,99.999,0.269,1.298,1
05322174-6714433,4.627,14.653,14.384,13.256,99.999,0.269,1.128,1
05284718-6959081,3.776,15.861,15.587,14.965,13.547,0.274,0.622,4
05034154-6600432,4.198,15.459,15.183,13.925,11.478,0.276,1.258,3
05274078-6717503,4.544,15.583,15.297,13.721,99.999,0.286,1.576,3
04592689-6725129,3.92,15.977,15.689,14.408,12.952,0.288,1.281,3
05253252-6956146,3.657,16.37,16.077,15.247,13.674,0.293,0.83,0
05342870-6920566,3.669,16.538,16.244,15.047,13.706,0.294,1.197,4
05005246-6812358,4.177,15.712,15.417,14.023,12.439,0.295,1.394,2
05334223-6606186,4.72,15.26,14.965,13.46,99.999,0.295,1.505,3
04531843-6917030,4.887,14.433,14.134,12.936,10.786,0.299,1.198,3
05092413-6850532,3.603,16.306,16.004,14.766,13.768,0.302,1.238,0
05110949-6526252,4.471,15.109,14.804,13.352,11.658,0.305,1.452,1
05255546-6631494,4.208,15.984,15.675,14.228,12.125,0.309,1.447,0
05272456-6610447,4.026,16.101,15.781,14.529,12.407,0.32,1.252,2
04503613-6958546,3.777,15.92,15.597,14.337,13.23,0.323,1.26,1
05342672-6835265,4.289,15.524,15.197,13.77,10.735,0.327,1.427,3
05320634-6723265,4.569,14.643,14.314,13.116,99.999,0.329,1.198,2
04503392-6958497,3.708,16.199,15.866,14.745,13.521,0.333,1.121,2
05354380-6851209,5.056,14.603,14.264,12.506,10.523,0.339,1.758,2
05353001-6744418,3.91,16.235,15.895,14.63,13.146,0.34,1.265,3
04562322-6627118,5.09,14.757,14.409,12.56,99.999,0.348,1.849,2
05172787-6829477,3.99,15.367,15.014,14.054,12.755,0.353,0.96,0
05022146-6606382,5.113,13.321,12.963,11.019,10.414,0.358,1.944,4
04520767-7005501,3.661,16.493,16.132,15.027,13.679,0.361,1.105,4
05460987-6642015,4.351,15.592,15.229,14.168,11.416,0.363,1.061,3
04503201-7004115,4.011,16.322,15.954,14.565,12.889,0.368,1.389,3
04535794-7100530,3.937,16.623,16.244,14.811,13.114,0.379,1.433,3
05084703-6846364,3.798,16.99,16.604,15.124,13.43,0.386,1.48,4
05120554-6708420,4.182,15.943,15.549,14.03,12.364,0.394,1.519,3
04535025-6648516,4.328,15.852,15.457,13.968,12.276,0.395,1.489,3
05422839-6809412,4.497,15.713,15.317,13.709,11.742,0.396,1.608,2
05005066-6954536,3.929,16.312,15.911,14.613,12.891,0.401,1.298,3
05061020-6850014,3.61,16.648,16.244,15.066,13.819,0.404,1.178,4
