Umag,Bmag,Vmag,Imag,U-B,B-V,UV
99.999,18.119,13.152,9.772,-18.119,4.967,4
16.285,20.253,14.259,12.78,-3.968,5.994,4
14.602,18.45,14.877,13.485,-3.848,3.573,3
15.458,19.261,15.087,13.816,-3.803,4.174,4
15.643,19.113,13.523,11.844,-3.47,5.59,4
16.84,19.892,14.386,12.943,-3.052,5.506,4
16.455,19.316,14.917,13.689,-2.861,4.399,4
16.45,19.258,14.007,12.486,-2.808,5.251,4
17.744,20.272,14.822,13.418,-2.528,5.45,4
17.212,19.51,15.335,13.91,-2.298,4.175,4
12.279,14.502,13.273,11.242,-2.223,1.229,1
17.582,19.781,15.052,13.89,-2.199,4.729,4
17.005,19.189,14.822,99.999,-2.184,4.367,4
17.613,19.651,15.191,13.818,-2.038,4.46,4
17.388,19.426,14.911,13.753,-2.038,4.515,4
16.161,18.177,14.157,99.999,-2.016,4.02,4
12.318,14.219,11.846,10.86,-1.901,2.373,1
17.808,19.425,14.098,99.999,-1.617,5.327,4
17.21,18.594,13.581,99.999,-1.384,5.013,0
17.196,18.414,13.797,11.137,-1.218,4.617,4
10.743,11.764,11.416,11.754,-1.021,0.348,1
17.004,17.91,15.155,13.746,-0.906,2.755,4
14.606,15.496,14.634,13.414,-0.89,0.862,4
17.577,18.402,15.595,13.577,-0.825,2.807,4
12.723,13.544,12.856,99.999,-0.821,0.688,1
10.963,11.754,11.596,11.458,-0.791,0.158,0
11.683,12.474,12.076,99.999,-0.791,0.398,2
12.013,12.754,12.256,10.617,-0.741,0.498,2
14.255,14.969,14.286,13.046,-0.714,0.683,1
14.119,14.816,14.02,12.893,-0.697,0.796,1
12.563,13.254,12.566,10.454,-0.691,0.688,2
17.981,18.66,15.133,13.798,-0.679,3.527,4
19.134,19.777,17.973,12.694,-0.643,1.804,4
14.137,14.77,14.112,13.021,-0.633,0.658,4
14.347,14.963,14.329,12.783,-0.616,0.634,1
14.733,15.337,14.64,13.639,-0.604,0.697,2
14.49,15.05,13.945,99.999,-0.56,1.105,2
14.52,15.077,14.754,13.841,-0.557,0.323,2
15.514,16.056,14.917,13.597,-0.542,1.139,2
14.25,14.792,14.29,13.303,-0.542,0.502,1
14.446,14.958,13.146,99.999,-0.512,1.812,2
13.723,14.214,13.376,11.279,-0.491,0.838,3
13.103,13.594,13.036,99.999,-0.491,0.558,2
14.993,15.482,14.291,12.868,-0.489,1.191,2
11.429,11.881,12.041,10.429,-0.452,-0.16,0
13.043,13.494,12.696,99.999,-0.451,0.798,1
12.563,13.014,12.586,10.991,-0.451,0.428,1
15.871,16.287,15.285,13.921,-0.416,1.002,3
14.504,14.915,14.311,12.872,-0.411,0.604,1
11.433,11.834,11.706,99.999,-0.401,0.128,4
14.406,14.802,13.418,99.999,-0.396,1.384,1
14.39,14.773,14.103,12.94,-0.383,0.67,1
15.9,16.273,14.837,13.214,-0.373,1.436,2
17.572,17.921,16.32,14.021,-0.349,1.601,4
14.865,15.208,14.477,13.364,-0.343,0.731,2
15.611,15.942,15.247,13.744,-0.331,0.695,0
15.268,15.582,14.838,13.747,-0.314,0.744,4
15.242,15.535,14.388,13.067,-0.293,1.147,0
14.318,14.604,13.633,12.363,-0.286,0.971,2
15.264,15.543,12.808,99.999,-0.279,2.735,3
14.604,14.875,13.896,12.367,-0.271,0.979,1
15.494,15.763,14.848,13.703,-0.269,0.915,2
14.92,15.185,14.171,12.75,-0.265,1.014,0
15.398,15.66,14.825,13.572,-0.262,0.835,2
15.539,15.778,14.764,13.483,-0.239,1.014,2
15.375,15.611,14.715,13.415,-0.236,0.896,2
15.511,15.739,14.733,13.427,-0.228,1.006,2
15.535,15.762,14.24,12.456,-0.227,1.522,0
15.176,15.396,14.458,13.235,-0.22,0.938,2
14.82,15.039,14.172,12.771,-0.219,0.867,2
15.145,15.355,14.394,12.951,-0.21,0.961,2
15.638,15.843,14.889,13.456,-0.205,0.954,3
15.554,15.75,14.698,13.303,-0.196,1.052,3
14.877,15.072,14.152,12.853,-0.195,0.92,4
14.471,14.664,13.39,99.999,-0.193,1.274,1
13.593,13.764,13.106,99.999,-0.171,0.658,1
15.366,15.534,14.575,13.265,-0.168,0.959,0
15.3,15.455,14.333,12.752,-0.155,1.122,4
13.433,13.584,13.266,12.528,-0.151,0.318,2
15.009,15.154,14.322,13.225,-0.145,0.832,3
15.206,15.347,14.136,12.024,-0.141,1.211,0
15.735,15.87,14.744,13.23,-0.135,1.126,3
14.815,14.948,13.99,11.808,-0.133,0.958,0
14.894,15.027,13.902,10.845,-0.133,1.125,2
15.532,15.657,14.528,13.186,-0.125,1.129,4
15.965,16.084,14.588,13.033,-0.119,1.496,3
15.477,15.585,14.604,13.156,-0.108,0.981,0
